Object Name;Object Classification;Epoch (TDB);Orbit Axis (AU);Orbit Eccentricity;Orbit Inclination (deg);Perihelion Argument (deg);Node Longitude (deg);Mean Anomoly (deg);Perihelion Distance (AU);Aphelion Distance (AU);Orbital Period (yr);Minimum Orbit Intersection Distance (AU);Orbital Reference;Asteroid Magnitude
433 Eros;Amor Asteroid;57800;14.579;0.2226;108.277;178.805;3.043.265;3.193.111;11.335;1.78;1.76;0.1492;598;11.16
719 Albert;Amor Asteroid;57800;26.385;0.5479;115.822;1.561.409;1.839.204;2.245.535;11.928;4.08;4.29;0.2004;78;15.5
887 Alinda;Amor Asteroid;57800;24.787;0.5671;93.561;3.503.482;1.105.444;351.373;10.731;3.88;3.9;0.0925;188;13.4
1036 Ganymed;Amor Asteroid;57800;26.628;0.5338;266.929;132.469;2.155.551;92.564;12.413;4.08;4.35;0.3421;597;9.45
1221 Amor;Amor Asteroid;57800;19.191;0.4356;118.795;266.572;1.713.448;3.137.379;10.832;2.76;2.66;0.1068;70;17.7
1566 Icarus;Apollo Asteroid (Hazard);57800;10.781;0.8269;228.255;31.383;880.107;2.155.288;0.1867;1.97;1.12;0.0345;100;16.9
1580 Betulia;Amor Asteroid;57800;21.973;0.4875;520.908;1.594.852;622.921;1.919.105;1.126;3.27;3.26;0.1361;191;14.8
1620 Geographos;Apollo Asteroid (Hazard);57800;12.453;0.3353;133.375;276.893;337.208;1.041.556;0.8277;1.66;1.39;0.0307;449;15.6
1627 Ivar;Amor Asteroid;57800;18.628;0.3966;84.512;167.773;1.331.445;1.514.603;11.241;2.6;2.54;0.1124;635;13.2
1685 Toro;Apollo Asteroid;54520;13.673;0.4359;93.807;1.270.826;2.743.396;486.229;0.7713;1.96;1.6;0.0504;355;14.23
1862 Apollo;Apollo Asteroid (Hazard);55432;14.702;0.5599;63.533;2.858.625;357.319;2.757.827;0.6471;2.29;1.78;0.0256;276;16.25
1863 Antinous;Apollo Asteroid;57800;22.594;0.6062;183.989;2.679.955;3.464.862;815.233;0.8897;3.63;3.4;0.1831;156;15.54
1864 Daedalus;Apollo Asteroid;57800;1.461;0.6144;222.121;3.256.376;66.402;2.714.266;0.5634;2.36;1.77;0.2692;361;14.85
